,address,urls,pics,price,bed,baths,sqFt,policy,distance,drivingtime
0,5841 Forward Ave,https://www.redfin.com/PA/Pittsburgh/Forward-Shady-Apartment/apartment/177358284,https://ssl.cdn-redfin.com/photo/rent/cbef1e44-b107-4b30-9a50-1d3d73b2aee2/islphoto/genIsl.0_2.jpg,Contact for Price,1,1,—,Lease Terms,3.5 km,10 mins
1,1001 Parkview Blvd,https://www.redfin.com/PA/Pittsburgh/The-Reserve-at-Summerset/apartment/73514015,https://ssl.cdn-redfin.com/photo/rent/85cd8ba7-e2e6-4e0e-a052-127fd5477085/islphoto/genIsl.0_1.jpg,"$1,230-$2,430/mo",1--3,1-2.5,"2,200-2,700",Dogs Welcome,4.7 km,12 mins
2,1927 Murray Ave,https://www.redfin.com/PA/Pittsburgh/1927-Murray-Ave-15217/apartment/180264922,https://ssl.cdn-redfin.com/photo/rent/f4e17017-75bd-4d44-b9d5-1acb712e55c3/islphoto/genIsl.0_1.jpg,"$1,275/mo",1,1,—,,2.8 km,7 mins
3,2327 Eldridge St,https://www.redfin.com/PA/Pittsburgh/2327-Eldridge-St-15217/apartment/177484557,https://ssl.cdn-redfin.com/photo/rent/f4e17017-75bd-4d44-b9d5-1acb712e55c3/islphoto/genIsl.0_1.jpg,$975/mo,1,1,490,Dogs Welcome,3.5 km,10 mins
4,5807 Bartlett St,https://www.redfin.com/PA/Pittsburgh/5807-Bartlett-St-15217/apartment/74751332,https://ssl.cdn-redfin.com/photo/rent/e19d3ffe-585c-415b-833b-f7424a851aea/islphoto/genIsl.0_1.jpg,"$1,100/mo",1,1,—,,2.6 km,7 mins
5,5673 Hobart St Unit 11,https://www.redfin.com/PA/Pittsburgh/5673-Hobart-St-15217/unit-11/apartment/180849182,https://ssl.cdn-redfin.com/photo/rent/fa96cac5-b1da-446a-b0f8-46c4815fab44/bigphoto/0_1.jpg,—,—,—, ,,2.7 km,7 mins
6,1914 Murray Ave,https://www.redfin.com/PA/Pittsburgh/1914-Murray-Ave-15217/apartment/177979099,https://ssl.cdn-redfin.com/photo/rent/8c6ec632-c43f-4819-9c81-e46714b205bd/bigphoto/0_4.jpg,—,—,—, ,,2.8 km,7 mins
7,2123 Shady Ave,https://www.redfin.com/PA/Pittsburgh/2123-Shady-Ave-15217/apartment/74751922,https://ssl.cdn-redfin.com/photo/rent/d2c01f5c-4fa4-4818-a22b-30a49dd0090e/bigphoto/0_1.jpg,"$1,350/mo",2,1,842,Cats Welcome,3.3 km,8 mins
8,5620 Hobart St,https://www.redfin.com/PA/Pittsburgh/Squirrel-Hill-Apartments/apartment/74754415,https://ssl.cdn-redfin.com/photo/rent/ebb7c83c-2363-43e8-a6e4-3ffe116e0e6d/bigphoto/0_1.jpg,"$1,149-$1,950/mo",1--2,1,950,Cats Welcome,2.6 km,7 mins
