,urls,pics,address,price,bed,baths,sqFt,policy
0,https://www.redfin.com/PA/Pittsburgh/Forward-Shady-Apartment/apartment/177358284,https://ssl.cdn-redfin.com/photo/rent/cbef1e44-b107-4b30-9a50-1d3d73b2aee2/islphoto/genIsl.0_2.jpg,5841 Forward Ave,Contact for Price,1,1,—,Lease Terms
1,https://www.redfin.com/PA/Pittsburgh/The-Reserve-at-Summerset/apartment/73514015,https://ssl.cdn-redfin.com/photo/rent/85cd8ba7-e2e6-4e0e-a052-127fd5477085/islphoto/genIsl.0_1.jpg,1001 Parkview Blvd,"$1,230-$2,430/mo",1-3,1-2.5,"2,200-2,700",Dogs Welcome
2,https://www.redfin.com/PA/Pittsburgh/1927-Murray-Ave-15217/apartment/180264922,https://ssl.cdn-redfin.com/photo/rent/f4e17017-75bd-4d44-b9d5-1acb712e55c3/islphoto/genIsl.0_1.jpg,1927 Murray Ave,"$1,275/mo",1,1,—,
3,https://www.redfin.com/PA/Pittsburgh/2327-Eldridge-St-15217/apartment/177484557,https://ssl.cdn-redfin.com/photo/rent/f4e17017-75bd-4d44-b9d5-1acb712e55c3/islphoto/genIsl.0_1.jpg,2327 Eldridge St,$975/mo,1,1,490,Dogs Welcome
4,https://www.redfin.com/PA/Pittsburgh/5807-Bartlett-St-15217/apartment/74751332,https://ssl.cdn-redfin.com/photo/rent/e19d3ffe-585c-415b-833b-f7424a851aea/islphoto/genIsl.0_1.jpg,5807 Bartlett St,"$1,100/mo",1,1,—,
5,https://www.redfin.com/PA/Pittsburgh/5673-Hobart-St-15217/unit-11/apartment/180849182,https://ssl.cdn-redfin.com/photo/rent/fa96cac5-b1da-446a-b0f8-46c4815fab44/bigphoto/0_1.jpg,5673 Hobart St Unit 11,—,—,—, ,
6,https://www.redfin.com/PA/Pittsburgh/1914-Murray-Ave-15217/apartment/177979099,https://ssl.cdn-redfin.com/photo/rent/8c6ec632-c43f-4819-9c81-e46714b205bd/bigphoto/0_4.jpg,1914 Murray Ave,—,—,—, ,
7,https://www.redfin.com/PA/Pittsburgh/2123-Shady-Ave-15217/apartment/74751922,https://ssl.cdn-redfin.com/photo/rent/d2c01f5c-4fa4-4818-a22b-30a49dd0090e/bigphoto/0_1.jpg,2123 Shady Ave,"$1,350/mo",2,1,842,Cats Welcome
8,https://www.redfin.com/PA/Pittsburgh/Squirrel-Hill-Apartments/apartment/74754415,https://ssl.cdn-redfin.com/photo/rent/ebb7c83c-2363-43e8-a6e4-3ffe116e0e6d/bigphoto/0_1.jpg,5620 Hobart St,"$1,149-$1,950/mo",1-2,1,950,Cats Welcome
